"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"2010",2018-06-21,69.501999,2018.46849315068,0,0,0,0,0,0,0,0
"2011",2018-06-22,66.725998,2018.47123287671,0,0,0,0,0,0,0,0
"2012",2018-06-25,66.601997,2018.47945205479,0,0,0,0,0,0,0,0
"2013",2018-06-26,68.400002,2018.48219178082,0,0,0,0,0,0,0,0
"2014",2018-06-27,68.900002,2018.48493150685,0,0,0,0,0,0,0,0
"2015",2018-06-28,69.986,2018.48767123288,0,0,0,0,0,0,0,0
"2016",2018-06-29,68.589996,2018.4904109589,0,0,0,0,0,0,0,0
"2017",2018-07-02,67.014,2018.49863013699,0,0,0,0,0,0,0,0
"2018",2018-07-03,62.172001,2018.50136986301,0,0,0,0,0,0,0,0
"2019",2018-07-05,61.832001,2018.50684931507,0,0,0,0,0,0,0,0
"2020",2018-07-06,61.779999,2018.5095890411,0,0,0,0,0,0,0,0
"2021",2018-07-09,63.702,2018.51780821918,0,0,0,0,0,0,0,0
"2022",2018-07-10,64.494003,2018.52054794521,0,0,0,0,0,0,0,0
"2023",2018-07-11,63.792,2018.52328767123,0,0,0,0,0,0,0,0
"2024",2018-07-12,63.341999,2018.52602739726,0,0,0,0,0,0,0,0
"2025",2018-07-13,63.773998,2018.52876712329,0,0,0,0,0,0,0,0
"2026",2018-07-16,62.02,2018.53698630137,0,0,0,0,0,0,0,0
"2027",2018-07-17,64.538002,2018.5397260274,0,0,0,0,0,0,0,0
"2028",2018-07-18,64.769997,2018.54246575342,0,0,0,0,0,0,0,0
"2029",2018-07-19,64.045998,2018.54520547945,0,0,0,0,0,0,0,0
"2030",2018-07-20,62.716,2018.54794520548,0,0,0,0,0,0,0,0
"2031",2018-07-23,60.639999,2018.55616438356,0,0,0,0,0,0,0,0
"2032",2018-07-24,59.486,2018.55890410959,0,0,0,0,0,0,0,0
"2033",2018-07-25,61.748001,2018.56164383562,0,0,0,0,0,0,0,0
"2034",2018-07-26,61.330002,2018.56438356164,0,0,0,0,0,0,0,0
"2035",2018-07-27,59.436001,2018.56712328767,0,0,0,0,0,0,0,0
"2036",2018-07-30,58.034,2018.57534246575,0,0,0,0,0,0,0,0
"2037",2018-07-31,59.627998,2018.57808219178,0,0,0,0,0,0,0,0
"2038",2018-08-01,60.167999,2018.58082191781,0,0,0,0,0,0,0,0
"2039",2018-08-02,69.907997,2018.58356164384,0,0,0,0,0,0,0,0
"2040",2018-08-03,69.634003,2018.58630136986,0,0,0,0,0,0,0,0
"2041",2018-08-06,68.398003,2018.59452054795,0,0,0,0,0,0,0,0
"2042",2018-08-07,75.914001,2018.59726027397,0,0,0,0,0,0,0,0
"2043",2018-08-08,74.068001,2018.6,0,0,0,0,0,0,0,0
"2044",2018-08-09,70.489998,2018.60273972603,0,0,0,0,0,0,0,0
"2045",2018-08-10,71.098,2018.60547945205,0,0,0,0,0,0,0,0
"2046",2018-08-13,71.281998,2018.61369863014,0,0,0,0,0,0,0,0
"2047",2018-08-14,69.528,2018.61643835616,0,0,0,0,0,0,0,0
"2048",2018-08-15,67.737999,2018.61917808219,0,0,0,0,0,0,0,0
"2049",2018-08-16,67.089996,2018.62191780822,0,0,0,0,0,0,0,0
"2050",2018-08-17,61.099998,2018.62465753425,0,0,0,0,0,0,0,0
"2051",2018-08-20,61.688,2018.63287671233,0,0,0,0,0,0,0,0
"2052",2018-08-21,64.379997,2018.63561643836,0,0,0,0,0,0,0,0
"2053",2018-08-22,64.328003,2018.63835616438,0,0,0,0,0,0,0,0
"2054",2018-08-23,64.019997,2018.64109589041,0,0,0,0,0,0,0,0
"2055",2018-08-24,64.564003,2018.64383561644,0,0,0,0,0,0,0,0
"2056",2018-08-27,63.854,2018.65205479452,0,0,0,0,0,0,0,0
"2057",2018-08-28,62.372002,2018.65479452055,0,0,0,0,0,0,0,0
"2058",2018-08-29,61.001999,2018.65753424658,0,0,0,0,0,0,0,0
"2059",2018-08-30,60.630001,2018.6602739726,0,0,0,0,0,0,0,0
"2060",2018-08-31,60.332001,2018.66301369863,0,0,0,0,0,0,0,0
"2061",2018-09-04,57.790001,2018.67397260274,0,0,0,0,0,0,0,0
"2062",2018-09-05,56.147999,2018.67671232877,0,0,0,0,0,0,0,0
"2063",2018-09-06,56.189999,2018.67945205479,0,0,0,0,0,0,0,0
"2064",2018-09-07,52.647999,2018.68219178082,0,0,0,0,0,0,0,0
"2065",2018-09-10,57.099998,2018.6904109589,0,0,0,0,0,0,0,0
"2066",2018-09-11,55.888,2018.69315068493,0,0,0,0,0,0,0,0
"2067",2018-09-12,58.108002,2018.69589041096,0,0,0,0,0,0,0,0
"2068",2018-09-13,57.891998,2018.69863013699,0,0,0,0,0,0,0,0
"2069",2018-09-14,59.040001,2018.70136986301,0,0,0,0,0,0,0,0
"2070",2018-09-17,58.967999,2018.7095890411,0,0,0,0,0,0,0,0
"2071",2018-09-18,56.992001,2018.71232876712,0,0,0,0,0,0,0,0
"2072",2018-09-19,59.804001,2018.71506849315,0,0,0,0,0,0,0,0
"2073",2018-09-20,59.666,2018.71780821918,0,0,0,0,0,0,0,0
"2074",2018-09-21,59.82,2018.72054794521,0,0,0,0,0,0,0,0
"2075",2018-09-24,59.936001,2018.72876712329,0,0,0,0,0,0,0,0
"2076",2018-09-25,60.198002,2018.73150684932,0,0,0,0,0,0,0,0
"2077",2018-09-26,61.916,2018.73424657534,0,0,0,0,0,0,0,0
"2078",2018-09-27,61.504002,2018.73698630137,0,0,0,0,0,0,0,0
"2079",2018-09-28,52.953999,2018.7397260274,0,0,0,0,0,0,0,0
"2080",2018-10-01,62.139999,2018.74794520548,0,0,0,0,0,0,0,0
"2081",2018-10-02,60.203999,2018.75068493151,0,0,0,0,0,0,0,0
"2082",2018-10-03,58.959999,2018.75342465753,0,0,0,0,0,0,0,0
"2083",2018-10-04,56.366001,2018.75616438356,0,0,0,0,0,0,0,0
"2084",2018-10-05,52.389999,2018.75890410959,0,0,0,0,0,0,0,0
"2085",2018-10-08,50.112,2018.76712328767,0,0,0,0,0,0,0,0
"2086",2018-10-09,52.560001,2018.7698630137,0,0,0,0,0,0,0,0
"2087",2018-10-10,51.375999,2018.77260273973,0,0,0,0,0,0,0,0
"2088",2018-10-11,50.445999,2018.77534246575,0,0,0,0,0,0,0,0
"2089",2018-10-12,51.756001,2018.77808219178,0,0,0,0,0,0,0,0
"2090",2018-10-15,51.917999,2018.78630136986,0,0,0,0,0,0,0,0
"2091",2018-10-16,55.318001,2018.78904109589,0,0,0,0,0,0,0,0
"2092",2018-10-17,54.355999,2018.79178082192,0,0,0,0,0,0,0,0
"2093",2018-10-18,52.782001,2018.79452054795,0,0,0,0,0,0,0,0
