"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"8346",2019-04-23,122.556602,2019.30684931507,0,0,0,0,0,0,0,0
"8347",2019-04-24,122.13649,2019.3095890411,0,0,0,0,0,0,0,0
"8348",2019-04-25,126.181313,2019.31232876712,0,0,0,0,0,0,0,0
"8349",2019-04-26,126.904312,2019.31506849315,0,0,0,0,0,0,0,0
"8350",2019-04-29,126.787064,2019.32328767123,0,0,0,0,0,0,0,0
"8351",2019-04-30,127.598007,2019.32602739726,0,0,0,0,0,0,0,0
"8352",2019-05-01,124.940514,2019.32876712329,0,0,0,0,0,0,0,0
"8353",2019-05-02,123.308899,2019.33150684932,0,0,0,0,0,0,0,0
"8354",2019-05-03,125.937065,2019.33424657534,0,0,0,0,0,0,0,0
"8355",2019-05-06,125.204292,2019.34246575342,0,0,0,0,0,0,0,0
"8356",2019-05-07,122.634743,2019.34520547945,0,0,0,0,0,0,0,0
"8357",2019-05-08,122.624992,2019.34794520548,0,0,0,0,0,0,0,0
"8358",2019-05-09,122.615234,2019.35068493151,0,0,0,0,0,0,0,0
"8359",2019-05-10,124.207756,2019.35342465753,0,0,0,0,0,0,0,0
"8360",2019-05-13,120.514641,2019.36164383562,0,0,0,0,0,0,0,0
"8361",2019-05-14,121.86293,2019.36438356164,0,0,0,0,0,0,0,0
"8362",2019-05-15,123.579018,2019.36712328767,0,0,0,0,0,0,0,0
"8363",2019-05-16,126.432663,2019.3698630137,0,0,0,0,0,0,0,0
"8364",2019-05-17,125.589317,2019.37260273973,0,0,0,0,0,0,0,0
"8365",2019-05-20,123.775154,2019.38082191781,0,0,0,0,0,0,0,0
"8366",2019-05-21,124.441994,2019.38356164384,0,0,0,0,0,0,0,0
"8367",2019-05-22,125.19706,2019.38630136986,0,0,0,0,0,0,0,0
"8368",2019-05-23,123.735931,2019.38904109589,0,0,0,0,0,0,0,0
"8369",2019-05-24,123.794762,2019.39178082192,0,0,0,0,0,0,0,0
"8370",2019-05-28,123.716324,2019.40273972603,0,0,0,0,0,0,0,0
"8371",2019-05-29,122.519951,2019.40547945205,0,0,0,0,0,0,0,0
"8372",2019-05-30,123.29464,2019.40821917808,0,0,0,0,0,0,0,0
"8373",2019-05-31,121.284355,2019.41095890411,0,0,0,0,0,0,0,0
"8374",2019-06-03,117.51873,2019.41917808219,0,0,0,0,0,0,0,0
"8375",2019-06-04,120.774429,2019.42191780822,0,0,0,0,0,0,0,0
"8376",2019-06-05,123.392708,2019.42465753425,0,0,0,0,0,0,0,0
"8377",2019-06-06,125.344162,2019.42739726027,0,0,0,0,0,0,0,0
"8378",2019-06-07,128.854797,2019.4301369863,0,0,0,0,0,0,0,0
"8379",2019-06-10,130.031586,2019.43835616438,0,0,0,0,0,0,0,0
"8380",2019-06-11,129.54126,2019.44109589041,0,0,0,0,0,0,0,0
"8381",2019-06-12,128.943085,2019.44383561644,0,0,0,0,0,0,0,0
"8382",2019-06-13,129.756989,2019.44657534247,0,0,0,0,0,0,0,0
"8383",2019-06-14,129.884491,2019.44931506849,0,0,0,0,0,0,0,0
"8384",2019-06-17,130.276733,2019.45753424658,0,0,0,0,0,0,0,0
"8385",2019-06-18,132.542007,2019.4602739726,0,0,0,0,0,0,0,0
"8386",2019-06-19,133.061737,2019.46301369863,0,0,0,0,0,0,0,0
"8387",2019-06-20,134.297272,2019.46575342466,0,0,0,0,0,0,0,0
"8388",2019-06-21,134.31694,2019.46849315068,0,0,0,0,0,0,0,0
"8389",2019-06-24,135.111252,2019.47671232877,0,0,0,0,0,0,0,0
"8390",2019-06-25,130.845474,2019.47945205479,0,0,0,0,0,0,0,0
"8391",2019-06-26,131.3358,2019.48219178082,0,0,0,0,0,0,0,0
"8392",2019-06-27,131.551529,2019.48493150685,0,0,0,0,0,0,0,0
"8393",2019-06-28,131.365234,2019.48767123288,0,0,0,0,0,0,0,0
"8394",2019-07-01,133.05191,2019.49589041096,0,0,0,0,0,0,0,0
"8395",2019-07-02,133.934479,2019.49863013699,0,0,0,0,0,0,0,0
"8396",2019-07-03,134.79744,2019.50136986301,0,0,0,0,0,0,0,0
"8397",2019-07-05,134.405182,2019.50684931507,0,0,0,0,0,0,0,0
"8398",2019-07-08,134.307129,2019.51506849315,0,0,0,0,0,0,0,0
"8399",2019-07-09,133.816803,2019.51780821918,0,0,0,0,0,0,0,0
"8400",2019-07-10,135.179916,2019.52054794521,0,0,0,0,0,0,0,0
