"","date_from","date_to","t2","t1","price","fitted price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2","oscill","damp","rel_err"
"11","2005-05-21","2007-09-28",2007.7397260274,2005.52328767123,1526.75,1502.68872664988,-50,80,0.443269612359245,161,1.84888871823937,5.27251027087374,2008.18299563976,7.3302383572782,-0.0540062537251474,0.00496919254436202,-0.0136916771275396,0.480628240825981,0.0154894903832407,0.0160121473751695
"12","2005-05-21","2007-09-28",2007.7397260274,2005.53424657534,1526.75,1502.33567491933,-55,80,0.441095720389967,160,1.89516625115292,5.29869655535035,2008.18082174779,7.32900416540268,-0.0525601852516594,0.00463558387507075,-0.013815762325556,0.483033132275991,0.0150745329777422,0.0162509121551578
"13","2005-05-21","2007-09-28",2007.7397260274,2005.54794520548,1526.75,1502.0019437712,-60,80,0.43835532782964,159,1.93752940138661,5.31530553750301,2008.17808135523,7.3278898422842,-0.0513197121819398,0.00426439142199189,-0.0139670892946419,0.484546544910694,0.0146782789169748,0.0164767138494295
"14","2005-05-21","2007-09-28",2007.7397260274,2005.56164383562,1526.75,1535.59491776308,-65,80,0.00204238100877774,0,0.337471140744918,1.73463080514963,2007.74176840841,7.35801289014084,-0.126317308141835,-0.0320664497113727,-0.0560024117298622,0.000812897933578046,0.0233874476861079,-0.00575992904167944
"15","2005-05-21","2007-09-28",2007.7397260274,2005.58082191781,1526.75,1502.21216890495,-70,80,0.431561128435078,157,1.99977285128253,5.45875020150812,2008.17128715583,7.32678479200518,-0.0503704615365854,0.00403551401818696,-0.0141423446638756,0.497392453038636,0.0142731784079877,0.0163344643339823
"16","2005-05-21","2007-09-28",2007.7397260274,2005.58904109589,1526.75,1502.83201134012,-75,80,0.427466375386075,156,1.99962951179167,5.51227000470834,2008.16719240278,7.32707033898866,-0.0510471320622636,0.00387047745448063,-0.0143038485675687,0.499649324429282,0.0141732499702805,0.01591527760881
"17","2005-05-21","2007-09-28",2007.7397260274,2005.60273972603,1526.75,1514.70442678905,-80,80,0.0618975708562175,22,1.3172495855795,6.64690059504053,2007.80162359825,7.32601243235763,-0.103044044180374,-0.00911249459275218,-0.020127230676056,0.0948955887736467,0.0178244090491362,0.00795242490739936
"18","2005-05-21","2007-09-28",2007.7397260274,2005.61917808219,1526.75,1504.14670375179,-85,80,0.42174153499468,153,1.99817492050865,5.71688649855435,2008.16146756239,7.32760144631264,-0.052285793332952,0.00450193545762173,-0.0142960471682681,0.518494522214003,0.0144384368222923,0.0150273215982416
"19","2005-05-21","2007-09-28",2007.7397260274,2005.6301369863,1526.75,1504.78527514162,-90,80,0.421444863259012,153,1.99925869803292,5.79856556573119,2008.16117089066,7.32794033409424,-0.0526830271354882,0.00477982610324524,-0.0142490883767977,0.528060045808923,0.0145647344810761,0.0145965841248116
"20","2005-05-21","2007-09-28",2007.7397260274,2005.64383561644,1526.75,1516.02332024072,-95,80,0.00202385286615936,0,1.25343514250014,7.38880922154902,2007.74174988026,7.32388220387659,-0.111007958797667,-0.0129571476284825,-0.0220207700629506,0.00356570347000028,0.0181254462449631,0.00707553743802503
"21","2005-05-21","2007-09-28",2007.7397260274,2005.65753424658,1526.75,1515.67773897462,-100,80,0.00200098010873262,0,1.26274439778468,7.4440875569541,2007.74172700751,7.32365129834812,-0.110792209262392,-0.0131335331463383,-0.0223757064782231,0.00357515541955084,0.01807048712431,0.00730515513995202
"22","2005-05-21","2007-09-28",2007.7397260274,2005.67945205479,1526.75,1514.96061459793,-105,80,0.00203959986811242,0,1.28202665604457,7.54159821233856,2007.74176562727,7.32317630065706,-0.11031542449418,-0.0135090327224758,-0.0230249732970832,0.00373111396812049,0.0180281494056342,0.00778197485035143
"23","2005-05-21","2007-09-28",2007.7397260274,2005.68493150685,1526.75,1506.68284123423,-110,80,0.410163019606898,149,1.9977808845092,5.95454543203859,2008.149889047,7.32846390831192,-0.0544091667885646,0.00455649713410393,-0.0147259470514608,0.541859851122259,0.014365520703459,0.0133187677038472
