"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"7325",2014-01-29,97.34,2014.07671232877,0,0,0,0,0,0,0,0
"7326",2014-01-30,98.25,2014.07945205479,0,0,0,0,0,0,0,0
"7327",2014-01-31,97.55,2014.08219178082,0,0,0,0,0,0,0,0
"7328",2014-02-03,96.44,2014.0904109589,0,0,0,0,0,0,0,0
"7329",2014-02-04,97.24,2014.09315068493,0,0,0,0,0,0,0,0
"7330",2014-02-05,97.4,2014.09589041096,0,0,0,0,0,0,0,0
"7331",2014-02-06,97.84,2014.09863013699,0,0,0,0,0,0,0,0
"7332",2014-02-07,99.98,2014.10136986301,0,0,0,0,0,0,0,0
"7333",2014-02-10,100.12,2014.1095890411,0,0,0,0,0,0,0,0
"7334",2014-02-11,99.96,2014.11232876712,0,0,0,0,0,0,0,0
"7335",2014-02-12,100.38,2014.11506849315,0,0,0,0,0,0,0,0
"7336",2014-02-13,100.27,2014.11780821918,0,0,0,0,0,0,0,0
"7337",2014-02-14,100.31,2014.12054794521,0,0,0,0,0,0,0,0
"7339",2014-02-18,102.54,2014.13150684931,0,0,0,0,0,0,0,0
"7340",2014-02-19,103.46,2014.13424657534,0,0,0,0,0,0,0,0
"7341",2014-02-20,103.2,2014.13698630137,0,0,0,0,0,0,0,0
"7342",2014-02-21,102.53,2014.1397260274,0,0,0,0,0,0,0,0
"7343",2014-02-24,103.17,2014.14794520548,0,0,0,0,0,0,0,0
"7344",2014-02-25,102.2,2014.15068493151,0,0,0,0,0,0,0,0
"7345",2014-02-26,102.93,2014.15342465753,0,0,0,0,0,0,0,0
"7346",2014-02-27,102.68,2014.15616438356,0,0,0,0,0,0,0,0
"7347",2014-02-28,102.88,2014.15890410959,0,0,0,0,0,0,0,0
"7348",2014-03-03,105.34,2014.16712328767,0,0,0,0,0,0,0,0
"7349",2014-03-04,103.64,2014.1698630137,0,0,0,0,0,0,0,0
"7350",2014-03-05,101.75,2014.17260273973,0,0,0,0,0,0,0,0
"7351",2014-03-06,101.82,2014.17534246575,0,0,0,0,0,0,0,0
"7352",2014-03-07,102.82,2014.17808219178,0,0,0,0,0,0,0,0
"7353",2014-03-10,101.39,2014.18630136986,0,0,0,0,0,0,0,0
"7354",2014-03-11,100.29,2014.18904109589,0,0,0,0,0,0,0,0
"7355",2014-03-12,98.29,2014.19178082192,0,0,0,0,0,0,0,0
"7356",2014-03-13,98.57,2014.19452054795,0,0,0,0,0,0,0,0
"7357",2014-03-14,99.23,2014.19726027397,0,0,0,0,0,0,0,0
"7358",2014-03-17,98.43,2014.20547945205,0,0,0,0,0,0,0,0
"7359",2014-03-18,100.08,2014.20821917808,0,0,0,0,0,0,0,0
"7360",2014-03-19,100.71,2014.21095890411,0,0,0,0,0,0,0,0
"7361",2014-03-20,99.68,2014.21369863014,0,0,0,0,0,0,0,0
"7362",2014-03-21,99.97,2014.21643835616,0,0,0,0,0,0,0,0
"7363",2014-03-24,100.05,2014.22465753425,0,0,0,0,0,0,0,0
"7364",2014-03-25,99.66,2014.22739726027,0,0,0,0,0,0,0,0
"7365",2014-03-26,100.61,2014.2301369863,0,0,0,0,0,0,0,0
"7366",2014-03-27,101.25,2014.23287671233,0,0,0,0,0,0,0,0
"7367",2014-03-28,101.73,2014.23561643836,0,0,0,0,0,0,0,0
"7368",2014-03-31,101.57,2014.24383561644,0,0,0,0,0,0,0,0
"7369",2014-04-01,99.69,2014.24657534247,0,0,0,0,0,0,0,0
"7370",2014-04-02,99.6,2014.24931506849,0,0,0,0,0,0,0,0
"7371",2014-04-03,100.29,2014.25205479452,0,0,0,0,0,0,0,0
"7372",2014-04-04,101.16,2014.25479452055,0,0,0,0,0,0,0,0
"7373",2014-04-07,100.43,2014.26301369863,0,0,0,0,0,0,0,0
"7374",2014-04-08,102.57,2014.26575342466,0,0,0,0,0,0,0,0
"7375",2014-04-09,103.55,2014.26849315068,0,0,0,0,0,0,0,0
"7376",2014-04-10,103.37,2014.27123287671,0,0,0,0,0,0,0,0
"7377",2014-04-11,103.68,2014.27397260274,0,0,0,0,0,0,0,0
"7378",2014-04-14,104.05,2014.28219178082,0,0,0,0,0,0,0,0
"7379",2014-04-15,103.7,2014.28493150685,0,0,0,0,0,0,0,0
"7380",2014-04-16,103.71,2014.28767123288,0,0,0,0,0,0,0,0
"7381",2014-04-17,104.33,2014.2904109589,0,0,0,0,0,0,0,0
"7383",2014-04-21,104.35,2014.30136986301,0,0,0,0,0,0,0,0
"7384",2014-04-22,101.69,2014.30410958904,0,0,0,0,0,0,0,0
"7385",2014-04-23,101.47,2014.30684931507,0,0,0,0,0,0,0,0
"7386",2014-04-24,102.2,2014.3095890411,0,0,0,0,0,0,0,0
"7387",2014-04-25,100.85,2014.31232876712,0,0,0,0,0,0,0,0
"7388",2014-04-28,101.13,2014.32054794521,0,0,0,0,0,0,0,0
"7389",2014-04-29,101.56,2014.32328767123,0,0,0,0,0,0,0,0
"7390",2014-04-30,100.07,2014.32602739726,0,0,0,0,0,0,0,0
"7391",2014-05-01,99.69,2014.32876712329,0,0,0,0,0,0,0,0
"7392",2014-05-02,100.09,2014.33150684932,0,0,0,0,0,0,0,0
"7393",2014-05-05,99.74,2014.3397260274,0,0,0,0,0,0,0,0
"7394",2014-05-06,99.81,2014.34246575342,0,0,0,0,0,0,0,0
"7395",2014-05-07,101.06,2014.34520547945,0,0,0,0,0,0,0,0
"7396",2014-05-08,100.52,2014.34794520548,0,0,0,0,0,0,0,0
"7397",2014-05-09,100.32,2014.35068493151,0,0,0,0,0,0,0,0
"7398",2014-05-12,100.89,2014.35890410959,0,0,0,0,0,0,0,0
"7399",2014-05-13,102.01,2014.36164383562,0,0,0,0,0,0,0,0
"7400",2014-05-14,102.63,2014.36438356164,0,0,0,0,0,0,0,0
